Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,category
"Yu, Qing; Li, Weifeng; Duan, Zhengyu; Yang, Dongyuan; ","Unveiling Urban Commuting Structure from Mobile Phone Data: A Case Study in Shanghai, China",,,,,2018,,Human Mobility
"Yu, Qing; Li, Wei-Feng; Duan, Zheng-Yu; Yang, Dong-Yuan; ",Activity Space Investigations for Nonresidents Using Mobile Phone Data,"CICTP 2017: Transportation Reform and Change—Equity, Inclusiveness, Sharing, and Innovation",,,142-151,2018,"American Society of Civil Engineers Reston, VA",Human Mobility
余庆; 雷曾翔; 李玮峰; 杨东援; ,基于多源数据的公交客流规模关联分析,综合运输,39,6,58-63,2017,,Public Transport
李俊; 杨东援; 余庆; ,基于 POI 数据的配送企业网络布局,2017 年中国城市交通规划年会论文集,,,,2017,,Logistics
李玮峰; 程小云; 余庆; 杨东援; ,基于多源数据的居民活动区域特征分析,规划 60 年: 成就与挑战——2016 中国城市规划年会论文集 (04 城市规划新技术应用),,,,2016,,Human Mobility
"Wang, Yu; Chen, Chuan; Yu, Qing; ",Analysis of Chinese Typical Urban Public Transport Network Types and Influencing Factors,18th COTA International Conference of Transportation Professionals,,,913-924,2018,"American Society of Civil Engineers Reston, VA",Public Transport
李俊; 余庆; 杨东援; ,城市生活性物流设施网络实证研究,综合运输,40,4,84-91,2018,,Logistics
"Yu, Qing; Zhang, Haoran; Li, Weifeng; Sui, Yi; Song, Xuan; Yang, Dongyuan; Shibasaki, Ryosuke; Jiang, Wenxiao; ",Mobile phone data in urban bicycle-sharing: Market-oriented sub-area division and spatial analysis on emission reduction potentials,Journal of Cleaner Production,254,,119974,2020,Elsevier,Bike Sharing
"Yu, Qing; Zhang, Haoran; Li, Weifeng; Song, Xuan; Yang, Dongyuan; Shibasaki, Ryosuke; ",Mobile phone GPS data in urban customized bus: Dynamic line design and emission reduction potentials analysis,Journal of Cleaner Production,272,,122471,2020,Elsevier,Public Transport
"Yu, Qing; Li, Weifeng; Zhang, Haoran; Yang, Dongyuan; ",Mobile phone data in urban customized bus: a network-based hierarchical location selection method with an application to system layout design in the urban agglomeration,Sustainability,12,15,6203,2020,MDPI,Public Transport
"Jiang, Wenxiao; Zhang, Haoran; Long, Yin; Chen, Jinyu; Sui, Yi; Song, Xuan; Shibasaki, Ryosuke; Yu, Qing; ",GPS data in urban online ride-hailing: the technical potential analysis of demand prediction model,Journal of Cleaner Production,279,,123706,2021,Elsevier,Ride Sharing
"Yu, Qing; Li, Weifeng; Yang, Dongyuan; Zhang, Haoran; ",Mobile phone data in urban commuting: A network community detection‐based framework to unveil the spatial structure of commuting demand,Journal of Advanced Transportation,2020,1,8835981,2020,Hindawi,Human Mobility
"Wang, Yuxuan; Chen, Jinyu; Xu, Ning; Li, Wenjing; Yu, Qing; Song, Xuan; ",GPS Data in Urban Online Car‐Hailing: Simulation on Optimization and Prediction in Reducing Void Cruising Distance,Mathematical Problems in Engineering,2020,1,6890601,2020,Hindawi,Ride Sharing
"Yu, Qing; Li, Weifeng; Yang, Dongyuan; Xie, Yingkun; ",Policy zoning for efficient land utilization based on spatio-temporal integration between the bicycle-sharing service and the metro transit,Sustainability,13,1,141,2020,MDPI,Bike Sharing
"Zhang, Haoran; Yan, Jinyue; Yu, Qing; Obersteiner, Michael; Li, Wenjing; Chen, Jinyu; Zhang, Qiong; Jiang, Mingkun; Wallin, Fredrik; Song, Xuan; ",1.6 Million transactions replicate distributed PV market slowdown by COVID-19 lockdown,Applied Energy,283,,116341,2021,Elsevier,Renewable energy
"Yang, Han; Yu, Qing; ",An Adaptability Analysis of the Space‐Vehicle Traffic State Estimation Model for Sparsely Distributed Observation Environment,Mathematical Problems in Engineering,2021,1,6692068,2021,Hindawi,Public Transport
"Bi, Huibo; Shang, Wen-Long; Chen, Yanyan; Wang, Kezhi; Yu, Qing; Sui, Yi; ",GIS aided sustainable urban road management with a unifying queueing and neural network model,Applied Energy,291,,116818,2021,Elsevier,Public Transport
"Yu, Qing; Li, Weifeng; Yang, Dongyuan; Zhang, Haoran; ",Partitioning urban road network based on travel speed correlation,International journal of transportation science and technology,10,2,97-109,2021,Elsevier,Public Transport
"Song, Shaofei; Li, Weifeng; Yu, Qing; Yang, Dongyuan; ",Analysis of Individual’s Activity Space Based on the Cellular Signaling Data,Mathematical Problems in Engineering,2021,1,6690295,2021,Hindawi,Human Mobility
"Li, Yi; Li, Weifeng; Yu, Qing; Yang, Han; ",Taxi global positioning system data in urban road network: A methodology to identify key road clusters based on travel speed–traffic volume correlation,Transportation Research Record,2676,1,487-498,2022,"SAGE Publications Sage CA: Los Angeles, CA",Public Transport
"Wu, Yuru; Li, Weifeng; Yu, Qing; Chen, Jinyu; ",Modeling the Impacts of Driver Income Distributions on Online Ride‐Hailing Services,Mathematical Problems in Engineering,2021,1,3055337,2021,Hindawi,Transportation Policy
"Yu, Qing; Li, Weifeng; Yang, Dongyuan; ",Data-driven estimation for urban travel shareability,Big Data and Mobility as a Service,,,177-202,2022,Elsevier,Public Transport
"Li, Zhe; Li, Weifeng; Yu, Qing; ",Understanding the effects of fare discount schemes to metro transit ridership based on structural change analysis,Mathematical Problems in Engineering,2021,1,9579325,2021,Hindawi,Transportation Policy
"Li, Weifeng; He, Jiawei; Yu, Qing; Chang, Yujiao; Liu, Peng; ",Using POI data to identify the demand for pedestrian crossing facilities at mid-block,Sustainability,13,23,13256,2021,MDPI,3D Urban Space
"Yu, Qing; Yuan, Jian; ","TransBigData: A Python package for transportation spatio-temporal big data processing, analysis and visualization",Journal of Open Source Software,7,71,4021,2022,,Tools & Skill
"Chen, Jinyu; Zhang, Qiong; Xu, Ning; Li, Wenjing; Yao, Yuhao; Li, Peiran; Yu, Qing; Wen, Chuang; Song, Xuan; Shibasaki, Ryosuke; ",Roadmap to hydrogen society of Tokyo: Locating priority of hydrogen facilities based on multiple big data fusion,Applied Energy,313,,118688,2022,Elsevier,Electric Vehicle
"Yu, Qing; Li, Weifeng; Zhang, Haoran; Chen, Jinyu; ",GPS data in taxi-sharing system: Analysis of potential demand and assessment of fuel consumption based on routing probability model,Applied Energy,314,,118923,2022,Elsevier,Ride Sharing
"Hui, Ying; Xie, Yingkun; Yu, Qing; Liu, Xiaolei; Wang, Xinyuan; ",Hotspots identification and classification of dockless bicycle sharing service under electric fence circumstances,Journal of Advanced Transportation,2022,1,5218254,2022,Hindawi,Bike Sharing
"Wu, Yuru; Li, Weifeng; Yu, Qing; Li, Jian; ","Analysis of the Relationship between Dockless Bicycle‐Sharing and the Metro: Connection, Competition, and Complementation",Journal of Advanced Transportation,2022,1,5664004,2022,Hindawi,Bike Sharing
"Yu, Qing; Xie, Yingkun; Li, Weifeng; Zhang, Haoran; Liu, Xiaolei; Shang, Wen-Long; Chen, Jinyu; Yang, Dongyuan; Yan, Jinyue; ",GPS data in urban bicycle-sharing: Dynamic electric fence planning with assessment of resource-saving and potential energy consumption increasement,Applied Energy,322,,119533,2022,Elsevier,Bike Sharing
"Duan, Zhengyu; Liu, Xiaolei; Yu, Qing; Li, Yi; ",Analyzing detour behavior of metro passengers based on mobile phone data,Transportation Planning and Technology,45,3,289-309,2022,Routledge,Public Transport
"Sun, Shichao; Zheng, Yong; Dong, Yao; Li, Na; Jin, Zhihong; Yu, Qing; ",Reducing external container trucks’ turnaround time in ports: a data-driven approach under truck appointment systems,Computers & Industrial Engineering,174,,108787,2022,Pergamon,Logistics
"Yu, Qing; Shang, Wen-Long; Chen, Jinyu; Zhang, Haoran; ",Web-based spatio-temporal data visualization technology for urban digital twin,Handbook of Mobility Data Mining,,,185-201,2023,Elsevier,3D Urban Space
"Chen, Jinyu; Li, Wenjing; Yu, Qing; Shibasaki, Ryosuke; Zhang, Haoran; ",Benchmark of travel mode detection with smartphone GPS trajectories,Handbook of Mobility Data Mining,,,117-137,2023,Elsevier,Emerging Technology
"Liang, Youyi; Yuan, Meng; Li, Zhuochao; Zhou, Hao; Zhang, Haoran; Yu, Qing; Liang, Yongtu; ",Mobility data in bike-sharing systems,Handbook of Mobility Data Mining,,,1月22日,2023,Elsevier,Bike Sharing
"Chen, Jinyu; Li, Wenjing; Yu, Qing; Shibasaki, Ryosuke; Zhang, Haoran; ",Improvement of an online ride-hailing system based on empirical GPS data,Handbook of Mobility Data Mining,,,23-61,2023,Elsevier,Ride Sharing
"Yuan, Jian; An, Kun; Ma, Wanjing; Yu, Qing; ",Traffic Information Mining Based on Queue Profile Geometry at Signalized Intersections,Spatial Knowledge & Information,,,,2023,,Emerging Technology
"Feng, Defan; Yu, Qing; Zhang, Haoran; Chen, Zhiheng; Song, Xuan; ","Analysis of the Potential of Battery Swapping, Transporting, and Sharing for Electric Taxi Fleets Based on Agent-Based Model",,,,,,,Electric Vehicle
"Liang, Youyi; Yuan, Meng; Li, Zhuochao; Zhou, Hao; Zhang, Haoran; Yu, Qing; Liang, Yongtu; ",Mobile Big Data in Bicycle-sharing System,"Handbook of Mobility Data Mining, Volume 3-1st Edition: Mobility Data-Driven Applications",,,,2023,Elsevier,Bike Sharing
"Luo, Songwen; Duan, Zhengyu; Yu, Qing; ","Intra-City Transit Accessibility Analysis for High-Frequency, Single-Day Visitors Based on Mobile Phone Data",CICTP 2023,,,2400-2409,2023,,Human Mobility
"Gong, Wenjie; Li, Ge; Chen, Qi; Yu, Qing; Guo, Zhiling; Zhang, Haoran; ",Development of Augmented Reality Visualization Prototype System for Immersive Display of Building Carbon Emissions Using Urban 3D Models,Energy Proceedings,32,,,2023,,3D Urban Space
"Xie, Yingkun; Hui, Ying; Wang, Yujiao; Yu, Qing; ",Walking Experience Evaluation Using Multiple Survey Methods: A Case Study of Shanghai,CICTP 2023,,,2432-2441,2023,,3D Urban Space
"Wang, Zhen; Yu, Qing; Shen, Xinwei; Sun, Hongbin; ",Grid-based Optimal Co-Planning of Urban Distribution Network and Electric Vehicle Charging Stations: A Case Study in Shanghai,,,,,,,Electric Vehicle
"Shang, Wen-Long; Chen, Yishui; Yu, Qing; Song, Xuewang; Chen, Yanyan; Ma, Xiaolei; Chen, Xiqun; Tan, Zhijia; Huang, Jianling; Ochieng, Washington; ",Spatio-temporal analysis of carbon footprints for urban public transport systems based on smart card data,Applied Energy,352,,121859,2023,Elsevier,Transportation Emission
"Yu, Qing; Wang, Zhen; Song, Yancun; Shen, Xinwei; Zhang, Haoran; ",Potential and flexibility analysis of electric taxi fleets V2G system based on trajectory data and agent-based modeling,Applied Energy,355,,122323,2024,Elsevier,Electric Vehicle
"Shang, Wen-Long; Song, Xuewang; Chen, Yishui; Yang, Xin; Liang, Liyun; Deveci, Muhammet; Cao, Mengqiu; Xiang, Qiannian; Yu, Qing; ",Congestion and pollutant emission analysis of urban road networks based on floating vehicle data,Urban Climate,53,,101794,2024,Elsevier,Transportation Emission
"Shen, Yonggang; Song, Yancun; Yu, Qing; Luo, Kang; Shi, Ziyi; Chen, Xiqun Michael; ",Enhancing carbon efficiency in shared micro-mobility systems: An agent-based fleet size and layout assessment approach,Journal of Cleaner Production,443,,141209,2024,Elsevier,Bike Sharing
"Zhang, Zhe; Gao, Kun; He, Hong-Di; Cui, Shaohua; Hu, Liyang; Yu, Qing; Peng, Zhong-Ren; ",Environmental impacts of ridesplitting considering modal substitution and associations with built environment,Transportation Research Part D: Transport and Environment,130,,104160,2024,Elsevier,Ride Sharing
"Zhao, Pengjun; Jin, Yanxiu; Zhang, Haoran; Liu, Zhaoru; Yu, Qing; Liu, Zhengying; Guo, Zhiling; Yan, Da; Shibasaki, Ryosuke; Yan, Jinyue; ",Shaping urban form for solar energy self-sufficiency city,(No Title),,,,2024,Research Square Platform LLC,Renewable energy
"Jiao, Qianhui; Yu, Qing; Chen, Xuewu; Cheng, Long; ",Joint optimization of metro travel reservation and compartment capacity allocation for an overcrowded metro line,Transportation Letters,,,1月14日,2024,Taylor & Francis,Public Transport
"Song, Yancun; Zhang, Li; Luo, Kang; Wang, Chenyan; Yu, Chengcheng; Shen, Yonggang; Yu, Qing; ",Self-loop analysis based on dockless bike-sharing system via bike mobility chain: empirical evidence from Shanghai,Transportation,,,1月25日,2024,Springer,Bike Sharing
"Li, Jiaxing; Jiang, Chaozhe; Han, Ke; Yu, Qing; Zhang, Haoran; ","High-resolution spatiotemporal inference of urban road traffic emissions using taxi GPS and multi-source urban features data: a case study in Chengdu, China",Urban Informatics,3,1,17,2024,Springer,Transportation Emission
余庆; 李玮峰; ,交通时空大数据分析、挖掘与可视化（Python版）,,,,,2022,清华大学出版社,Tools & Skill
余庆; 袁见; 宋轩; ,交通时空大数据详解：车辆轨迹数据分析、挖掘与可视化（Python版）,,,,,2024,清华大学出版社,Tools & Skill
"Yao, Yao; Jiang, Yinghong; Yu, Qing; Yuan, Jian; Li, Jiaxing; Xu, Jian; Liu, Siyuan; Zhang, Haoran; ",A GIS-Based Framework for Synthesizing City-Scale Long-Term Individual-Level Spatial–Temporal Mobility,ISPRS International Journal of Geo-Information,13,7,261,2024,MDPI,Human Mobility
"Yu, Qing; Feng, Defan; Li, Ge; Chen, Qi; Zhang, Haoran; ",AdvMOB: Interactive visual analytic system of billboard advertising exposure analysis based on urban digital twin technique,Advanced Engineering Informatics,62,,102829,2024,Elsevier,3D Urban Space
"Zhang, Zhe; Yu, Qing; Gao, Kun; He, Hong-Di; Liu, Yang; Huang, Haichao; ",Carbon emission reduction benefits of ride-hailing vehicle electrification considering energy structure,Applied Energy,377,,124548,2025,Elsevier,Ride Sharing
"Shi, Jihao; Li, Junjie; Zhang, Haoran; Xie, Bin; Xie, Zonghao; Yu, Qing; Yan, Jinyue; ",Real-time gas explosion prediction at urban scale by GIS and graph neural network,Applied Energy,377,,124614,2025,Elsevier,3D Urban Space
"Luo, Kang; Song, Yancun; Shi, Ziyi; Yu, Qing; Wang, Guanqi; Shen, Yonggang; ",A dynamic electric fence planning framework for dockless bike-sharing systems based on inventory prediction,Computers & Industrial Engineering,198,,110619,2024,Pergamon,Bike Sharing
"Jiao, Qianhui; Yu, Qing; Chen, Xuewu; Cheng, Long; Ngoduy, Dong; ",Evaluating Urban Rail Travel Reservation Strategy: A Dynamic Passenger Flow Simulation Approach,Transportmetrica B: Transport Dynamics,,,,2024,,Public Transport
"Zhang, Zhe; Yu, Qing; Gao, Kun; He, Hong-Di; ",Modeling and Evaluating Carbon Emission Reductions of Vehicle Electrification for urban Ride-Hailing service,Transportation Research Board Annual Meeting,,,,2025,,Electric Vehicle
"Jiao, Qianhui; Chen, Xuewu; Cheng, Long; Yu, Qing; ",Agent-Based Simulation for Passenger Flow Visualization and Control Strategies Analysis in Rail Transit,Transportation Research Board Annual Meeting,,,,2025,,Public Transport
"Jiao, Qianhui; Wang, Jinghui; Cheng, Long; Chen, Xuewu; Yu, Qing; ",Carbon emission reduction effects of heterogeneous car travelers under green travel incentive strategies,Applied Energy,379,,124826,2025,Elsevier,Transportation Policy
"Yu, Qing; Li, Jiaxing; Feng, Defan; Liu, Xuanyu; Yuan, Jian; Zhang, Haoran; Wang, Xin; ",Modeling electric vehicle behavior: Insights from long-term charging and energy consumption patterns through empirical trajectory data,,,,,2025,"Applied Energy 380, 125066",Electric Vehicle
"Yu, Qing; Dong, Kechuan; Guo, Zhiling; Li, Jiaxing; Tan, Hongjun; Jin, Yanxiu; Yuan, Jian; Zhang, Haoran; Liu, Junwei; Chen, Qi; ",Global Estimation of Building-Integrated Facade and Rooftop Photovoltaic Potential by Integrating 3D Building Footprint and Spatio-Temporal Datasets,arXiv preprint arXiv:2412.01291,,,,2024,,Renewable energy
"Liu, Xuanyu; Yu, Qing; Bian, Weihao; Yu, Hao; Zhang, Chonghao; Liu, Xiang; Jiang, Haoran; Luo, Xiao; ",Unraveling spatiotemporal dynamics of ridesharing potential: Nonlinear effects of the built environment,Transportation Research Part D: Transport and Environment,139,,104594,2025,Elsevier,Ride Sharing
"Dong, Kechuan; Yu, Qing; Guo, Zhiling; Xu, Jian; Tan, Hongjun; Zhang, Haoran; Yan, Jinyue; ","Advancing building facade solar potential assessment through AIoT, GIS, and meteorology synergy",Advances in Applied Energy,,,100212,2025,Elsevier,Renewable energy